company_name,url,year_founded,city,state,country,zip_code,full_time_employees,company_type,company_category,revenue_source,business_model
Food+Tech Connect,http://www.foodtechconnect.com,2010,New York,NY,us,11222,10-Jan,Private,Food & Agriculture,Not reported by company,Business to Business
Forrester Research,http://www.forrester.com,1983,Cambridge,MA,us,2140,"1,001-5,000",Public,Research & Consulting,Not reported by company,Business to Business
Foursquare,https://foursquare.com,2009,New York,NY,us,10012,51-200,Private,Lifestyle & Consumer,Not reported by company,Business to Consumer
Fujitsu,http://www.fujitsu.com/us/,1935,Sunnyvale,CA,us,94089,"10,001+",Private,Data/Technology,"ICT Product and Services, Software licensing, Data analysis for clients, Database licensing",
Funding Circle,https://www.fundingcircle.com,2010,San Francisco,CA,us,94111,51-200,Private,Finance & Investment,Not reported by company,Business to Business
FutureAdvisor,https://www.futureadvisor.com,2010,San Francisco,CA,us,94107,Nov-50,Private,Finance & Investment,Not reported by company,Business to Consumer
"Fuzion Apps, Inc.",www.fuzionapps.com,2012,Sugar Land,TX,us,77479,10-Jan,Public,Lifestyle & Consumer,"Advertising, Lead generation to other businesses, Software licensing, User fees for web or mobile access, Feature upgrades within the app",Business to Business
Gallup,http://www.gallup.com,1969,Washington,DC,us,20004,"1,001-5,000",Private,Research & Consulting,Not reported by company,Business to Business
Galorath Incorporated,www.galorath.com,1987,El Segundo,CA,us,90245,Nov-50,Private,Business & Legal Services,Software licensing,Business to Business
Garmin,http://www.garmin.com/en-US,1989,Olathe,KA,us,66062,"5,001-10,000",Public,Geospatial/Mapping,Not reported by company,Business to Consumer
Genability,http://genability.com,2010,San Francisco,CA,us,94105,10-Jan,Private,Energy,"Data analysis for clients, Database licensing",Business to Business
GenoSpace,https://www.genospace.com,2011,Cambridge,MA,us,2108,Nov-50,Private,Healthcare,Not reported by company,"Business to Business, academia"
Geofeedia,http://geofeedia.com/,2011,Chicago,IL,us,60606,Nov-50,Private,Geospatial/Mapping,Not reported by company,Business to Business
Geolytics,http://www.geolytics.com,1996,Branchburg,NJ,us,8876,10-Jan,Private,Data/Technology,not reported by company,"Business to Business, Business to Government"
